Общие колиформные бактерии (ОКБ)	отс.	90	53
Остаточный хлор	0.35	101	86
Запах при 60C	1-2	102	86
Неизвестно (5147)	1	103	86
Неизвестно (5148)	Тинистый	104	86
Общие колиформные бактерии (ОКБ)	отс.	105	86
Неизвестно (1000)	Тинистый	106	26
Неизвестно (1001)	Тинистый	107	26
Запах при 20C	1	108	26
Неизвестно (1003)	20.4	109	26
Мутность	<0.30	111	26
Водородный показатель (pH)	7.4	112	26
Железо общее	<0.05	113	26
Термотолерантные колиформные бактерии (ТКБ)	отс.	114	26
Общее микробное число (ОМЧ)	отс.	115	26
Остаточный хлор	0.12	116	26
Запах при 60C	1-2	117	26
Неизвестно (5147)	1	118	26
Неизвестно (5148)	Тинистый	119	26
Общие колиформные бактерии (ОКБ)	отс.	120	26
Неизвестно (1000)	Тинистый	121	2
Неизвестно (1001)	Тинистый	122	2
Запах при 20C	1	123	2
Неизвестно (1003)	21.4	124	2
Цветность	<5	125	2
Мутность	0.63	126	2
Водородный показатель (pH)	7.2	127	2
Железо общее	<0.05	128	2
Термотолерантные колиформные бактерии (ТКБ)	отс.	129	2
Общее микробное число (ОМЧ)	отс.	130	2
Остаточный хлор	0.15	131	2
Запах при 60C	1	132	2
Неизвестно (5147)	1	133	2
Неизвестно (5148)	Тинистый	134	2
Общие колиформные бактерии (ОКБ)	отс.	135	2
Неизвестно (1000)	Тинистый	136	27
Неизвестно (1001)	Тинистый	137	27
Запах при 20C	1	138	27
Неизвестно (1003)	21.1	139	27
Цветность	10	140	27
Мутность	<0.30	141	27
Водородный показатель (pH)	7.2	142	27
Железо общее	<0.05	143	27
Термотолерантные колиформные бактерии (ТКБ)	отс.	144	27
Общее микробное число (ОМЧ)	отс.	145	27
Остаточный хлор	0.24	146	27
Запах при 60C	1-2	147	27
Неизвестно (5147)	1	148	27
Общие колиформные бактерии (ОКБ)	отс.	150	27
Неизвестно (1000)	Хлорно-тинистый	151	76
Неизвестно (1001)	Хлорно-тинистый	152	76
Запах при 20C	1	153	76
Неизвестно (1003)	21.8	154	76
Мутность	0.47	156	76
Водородный показатель (pH)	7.3	157	76
Железо общее	<0.05	158	76
Термотолерантные колиформные бактерии (ТКБ)	отс.	159	76
Общее микробное число (ОМЧ)	отс.	160	76
Остаточный хлор	0.52	161	76
Запах при 60C	1-2	162	76
Неизвестно (5147)	1	163	76
Неизвестно (5148)	Хлорно-тинистый	164	76
Общие колиформные бактерии (ОКБ)	отс.	165	76
Неизвестно (1000)	Хлорно-тинистый	166	40
Неизвестно (1001)	Хлорно-тинистый	167	40
Неизвестно (1003)	19.7	169	40
Цветность	11	170	40
Мутность	0.39	171	40
Водородный показатель (pH)	7.2	172	40
Железо общее	<0.05	173	40
Термотолерантные колиформные бактерии (ТКБ)	отс.	174	40
Общее микробное число (ОМЧ)	отс.	175	40
Остаточный хлор	0.40	176	40
Запах при 60C	2	177	40
Неизвестно (5147)	1	178	40
Неизвестно (5148)	Хлорно-тинистый	179	40
Общие колиформные бактерии (ОКБ)	отс.	180	40
Неизвестно (1000)	Хлорно-тинистый	181	52
Неизвестно (1001)	Хлорно-тинистый	182	52
Запах при 20C	1	183	52
Неизвестно (1003)	20.6	184	52
Цветность	8	185	52
Мутность	<0.30	186	52
Водородный показатель (pH)	7.6	187	52
Железо общее	<0.05	188	52
Термотолерантные колиформные бактерии (ТКБ)	отс.	189	52
Общее микробное число (ОМЧ)	отс.	190	52
Остаточный хлор	0.43	191	52
Запах при 60C	1-2	192	52
Неизвестно (5147)	1	193	52
Неизвестно (5148)	Хлорно-тинистый	194	52
Общие колиформные бактерии (ОКБ)	отс.	195	52
Неизвестно (1000)	Тинистый	196	74
Неизвестно (1001)	Тинистый	197	74
Запах при 20C	1	198	74
Неизвестно (1003)	19.5	199	74
Цветность	11	200	74
Мутность	<0.30	201	74
Водородный показатель (pH)	7.2	202	74
Железо общее	<0.05	203	74
Термотолерантные колиформные бактерии (ТКБ)	отс.	204	74
Общее микробное число (ОМЧ)	отс.	205	74
Остаточный хлор	0.49	206	74
Запах при 60C	1	207	74
Неизвестно (5147)	1	208	74
Неизвестно (5148)	Тинистый	209	74
Общие колиформные бактерии (ОКБ)	отс.	210	74
Неизвестно (1000)	Тинистый	211	
Неизвестно (1001)	Хлорно-тинистый	212	
Запах при 20C	2	213	
Неизвестно (1003)	20.3	214	
Цветность	11	215	
Мутность	<0.30	216	
Водородный показатель (pH)	7.0	217	
Железо общее	<0.05	218	
Термотолерантные колиформные бактерии (ТКБ)	отс.	219	
Общее микробное число (ОМЧ)	отс.	220	
Остаточный хлор	0.51	221	
Запах при 60C	1	222	
Неизвестно (5147)	2	223	
Неизвестно (5148)	Тинистый	224	
Общие колиформные бактерии (ОКБ)	отс.	226	
Неизвестно (1000)	Хлорно-тинистый	227	
Неизвестно (1001)	Хлорно-тинистый	228	
Запах при 20C	1	229	
Неизвестно (1003)	19.5	230	
Цветность	13	231	
Мутность	0.38	232	
Водородный показатель (pH)	7.2	233	
Железо общее	<0.05	234	
Термотолерантные колиформные бактерии (ТКБ)	отс.	235	
Общее микробное число (ОМЧ)	отс.	236	
Остаточный хлор	0.56	237	
Запах при 60C	1	238	
Неизвестно (5147)	1	239	
Неизвестно (5148)	Хлорно-тинистый	240	
Общие колиформные бактерии (ОКБ)	отс.	241	
Неизвестно (1000)	Хлорно-тинистый	242	36
Неизвестно (1001)	Хлорно-тинистый	243	36
Запах при 20C	1	244	36
Цветность	12	261	10
Мутность	<0.30	262	10
Водородный показатель (pH)	7.2	263	10
Железо общее	<0.05	264	10
Термотолерантные колиформные бактерии (ТКБ)	отс.	265	10
Общее микробное число (ОМЧ)	отс.	266	10
Остаточный хлор	0.84	267	10
Запах при 60C	1-2	268	10
Неизвестно (5147)	1	269	10
Неизвестно (5148)	Тинистый	149	27
Неизвестно (5148)	Хлорно-тинистый	270	10
Общие колиформные бактерии (ОКБ)	отс.	271	10
Неизвестно (1000)	Хлорно-тинистый	272	75
Неизвестно (1001)	Хлорно-тинистый	273	75
Запах при 20C	1	274	75
Неизвестно (1003)	19.6	275	75
Цветность	8	276	75
Мутность	<0.30	277	75
Водородный показатель (pH)	7.3	278	75
Железо общее	<0.05	279	75
Термотолерантные колиформные бактерии (ТКБ)	отс.	280	75
Общее микробное число (ОМЧ)	отс.	281	75
Остаточный хлор	0.46	282	75
Запах при 60C	1	283	75
Неизвестно (5147)	1	284	75
Неизвестно (5148)	Хлорно-тинистый	285	75
Общие колиформные бактерии (ОКБ)	отс.	286	75
Неизвестно (1000)	Хлорный	287	
Водородный показатель (pH)	7.4	22	32
Неизвестно (1001)	Хлорный	288	
Запах при 20C	1	289	
Неизвестно (1003)	20.1	290	
Цветность	11	291	
Термотолерантные колиформные бактерии (ТКБ)	отс.	24	32
Общее микробное число (ОМЧ)	отс.	25	32
Остаточный хлор	0.21	26	32
Запах при 60C	1	27	32
Неизвестно (5147)	1	28	32
Неизвестно (5148)	Тинистый	29	32
Общие колиформные бактерии (ОКБ)	отс.	30	32
Неизвестно (1000)	Хлорно-тинистый	31	80
Неизвестно (1001)	Хлорно-тинистый	32	80
Запах при 20C	1	33	80
Неизвестно (1003)	21.4	34	80
Цветность	11	35	80
Мутность	0.41	36	80
Неизвестно (5148)	Тинистый	1750	
Неизвестно (1000)	Тинистый	316	37
Неизвестно (1001)	Тинистый	317	37
Запах при 20C	1	318	37
Неизвестно (1003)	21.3	319	37
Мутность	<0.30	321	37
Водородный показатель (pH)	7.3	322	37
Железо общее	<0.05	323	37
Термотолерантные колиформные бактерии (ТКБ)	отс.	324	37
Общее микробное число (ОМЧ)	отс.	325	37
Остаточный хлор	0.26	326	37
Запах при 60C	1-2	327	37
Запах при 20C	1	3	30
Неизвестно (5147)	1	328	37
Неизвестно (5148)	Тинистый	329	37
Неизвестно (1003)	20.5	4	30
Цветность	10	5	30
Мутность	<0.30	6	30
Водородный показатель (pH)	7.2	7	30
Железо общее	<0.05	8	30
Термотолерантные колиформные бактерии (ТКБ)	отс.	9	30
Общее микробное число (ОМЧ)	отс.	10	30
Остаточный хлор	0.16	11	30
Запах при 60C	1-2	12	30
Неизвестно (5147)	1	13	30
Неизвестно (5148)	Тинистый	14	30
Общие колиформные бактерии (ОКБ)	отс.	15	30
Неизвестно (1000)	Тинистый	16	32
Неизвестно (1001)	Тинистый	17	32
Запах при 20C	1	18	32
Неизвестно (1003)	20.3	19	32
Цветность	<5	20	32
Мутность	<0.30	21	32
Железо общее	<0.05	23	32
Общие колиформные бактерии (ОКБ)	отс.	330	37
Неизвестно (1000)	Тинистый	331	71
Неизвестно (1001)	Хлорно-тинистый	332	71
Запах при 20C	1	333	71
Запах при 60C	2	225	
Неизвестно (1003)	20.5	334	71
Неизвестно (5147)	1	358	44
Неизвестно (5148)	Хлорно-тинистый	359	44
Общие колиформные бактерии (ОКБ)	отс.	360	44
Неизвестно (1000)	Хлорно-тинистый	361	
Неизвестно (1001)	Хлорно-тинистый	362	
Неизвестно (1003)	20.2	364	
Цветность	8	365	
Мутность	<0.30	366	
Водородный показатель (pH)	7.3	367	
Железо общее	<0.05	368	
Термотолерантные колиформные бактерии (ТКБ)	отс.	369	
Общее микробное число (ОМЧ)	отс.	370	
Общее микробное число (ОМЧ)	отс.	55	64
Остаточный хлор	0.45	56	64
Запах при 60C	1-2	57	64
Неизвестно (5147)	1	58	64
Неизвестно (5148)	Хлорно-тинистый	59	64
Общие колиформные бактерии (ОКБ)	отс.	60	64
Неизвестно (1000)	Тинистый	61	84
Неизвестно (1001)	Тинистый	62	84
Запах при 20C	1	63	84
Неизвестно (1003)	21.6	64	84
Цветность	8	65	84
Мутность	0.38	66	84
Водородный показатель (pH)	7.3	67	84
Железо общее	<0.05	68	84
Термотолерантные колиформные бактерии (ТКБ)	отс.	69	84
Общее микробное число (ОМЧ)	отс.	70	84
Остаточный хлор	0.32	71	84
Запах при 60C	1-2	72	84
Неизвестно (5147)	1	73	84
Неизвестно (5148)	Тинистый	74	84
Остаточный хлор	0.91	371	
Запах при 60C	1-2	372	
Неизвестно (5147)	1	373	
Неизвестно (5148)	Хлорно-тинистый	374	
Общие колиформные бактерии (ОКБ)	отс.	375	
Неизвестно (1000)	Хлорно-тинистый	376	29
Неизвестно (1001)	Хлорно-тинистый	377	29
Запах при 20C	1	378	29
Неизвестно (1003)	21.3	379	29
Цветность	11	380	29
Мутность	0.39	381	29
Водородный показатель (pH)	7.2	382	29
Железо общее	<0.05	383	29
Термотолерантные колиформные бактерии (ТКБ)	отс.	384	29
Общее микробное число (ОМЧ)	отс.	385	29
Остаточный хлор	0.29	386	29
Запах при 60C	1	387	29
Неизвестно (5147)	1	388	29
Неизвестно (5147)	1	463	92
Неизвестно (5148)	Хлорно-тинистый	389	29
Общие колиформные бактерии (ОКБ)	отс.	390	29
Неизвестно (1000)	Тинистый	391	59
Неизвестно (1001)	Тинистый	392	59
Запах при 20C	1	393	59
Неизвестно (1003)	20.1	394	59
Цветность	12	395	59
Мутность	0.33	396	59
Водородный показатель (pH)	7.2	397	59
Железо общее	<0.05	398	59
Термотолерантные колиформные бактерии (ТКБ)	отс.	399	59
Общее микробное число (ОМЧ)	отс.	400	59
Запах при 60C	2	402	59
Неизвестно (5147)	1	403	59
Неизвестно (5148)	Тинистый	404	59
Цветность	7	320	37
Общие колиформные бактерии (ОКБ)	отс.	405	59
Неизвестно (1000)	Хлорно-тинистый	406	58
Неизвестно (1001)	Хлорно-тинистый	407	58
Запах при 20C	1	408	58
Неизвестно (1003)	21.2	409	58
Цветность	11	410	58
Неизвестно (5148)	Тинистый	89	53
Запах при 20C	1	303	
Неизвестно (5148)	Тинистый	314	
Остаточный хлор	0.34	401	59
Мутность	0.54	411	58
Водородный показатель (pH)	7.1	412	58
Железо общее	0.10	413	58
Термотолерантные колиформные бактерии (ТКБ)	отс.	414	58
Общее микробное число (ОМЧ)	отс.	415	58
Остаточный хлор	0.38	416	58
Запах при 60C	1	417	58
Неизвестно (5147)	1	418	58
Неизвестно (5148)	Хлорно-тинистый	419	58
Общие колиформные бактерии (ОКБ)	отс.	420	58
Неизвестно (1000)	Хлорно-тинистый	421	65
Неизвестно (1001)	Хлорно-тинистый	422	65
Запах при 20C	1	423	65
Неизвестно (1003)	20.2	424	65
Цветность	11	425	65
Мутность	<0.30	426	65
Водородный показатель (pH)	7.2	427	65
Железо общее	<0.05	428	65
Термотолерантные колиформные бактерии (ТКБ)	отс.	429	65
Общее микробное число (ОМЧ)	отс.	430	65
Остаточный хлор	0.76	431	65
Неизвестно (5147)	1	433	65
Неизвестно (5148)	Хлорно-тинистый	434	65
Общие колиформные бактерии (ОКБ)	отс.	435	65
Неизвестно (1000)	Хлорно-тинистый	436	42
Неизвестно (1001)	Хлорно-тинистый	437	42
Запах при 20C	1	438	42
Неизвестно (1003)	20.0	439	42
Цветность	11	440	42
Мутность	<0.30	441	42
Водородный показатель (pH)	7.2	442	42
Железо общее	<0.05	443	42
Термотолерантные колиформные бактерии (ТКБ)	отс.	444	42
Общее микробное число (ОМЧ)	отс.	445	42
Остаточный хлор	0.56	446	42
Запах при 60C	1	447	42
Неизвестно (5147)	1	448	42
Неизвестно (5148)	Хлорно-тинистый	449	42
Общие колиформные бактерии (ОКБ)	отс.	450	42
Неизвестно (1000)	Хлорно-тинистый	451	92
Неизвестно (1001)	Хлорно-тинистый	452	92
Запах при 20C	1	453	92
Неизвестно (1003)	19.2	454	92
Цветность	15	455	92
Мутность	0.51	456	92
Водородный показатель (pH)	7.2	457	92
Железо общее	0.11	458	92
Термотолерантные колиформные бактерии (ТКБ)	отс.	459	92
Общее микробное число (ОМЧ)	отс.	460	92
Остаточный хлор	0.46	461	92
Запах при 60C	1	462	92
Неизвестно (5148)	Хлорно-тинистый	464	92
Общие колиформные бактерии (ОКБ)	отс.	465	92
Неизвестно (1000)	Тинистый	466	41
Неизвестно (1001)	Тинистый	467	41
Запах при 20C	1	468	41
Неизвестно (1003)	21.1	469	41
Цветность	12	470	41
Мутность	0.59	471	41
Водородный показатель (pH)	7.1	472	41
Железо общее	<0.05	473	41
Термотолерантные колиформные бактерии (ТКБ)	отс.	474	41
Общее микробное число (ОМЧ)	отс.	475	41
Остаточный хлор	0.41	476	41
Запах при 60C	1	477	41
Неизвестно (5147)	1	478	41
Неизвестно (5148)	Тинистый	479	41
Общие колиформные бактерии (ОКБ)	отс.	480	41
Неизвестно (1000)	Тинистый	481	57
Неизвестно (1001)	Хлорно-тинистый	482	57
Запах при 20C	2	483	57
Неизвестно (1003)	16.8	484	57
Цветность	14	485	57
Мутность	<0.30	486	57
Водородный показатель (pH)	7.3	487	57
Железо общее	<0.05	488	57
Термотолерантные колиформные бактерии (ТКБ)	отс.	489	57
Общее микробное число (ОМЧ)	отс.	490	57
Остаточный хлор	0.44	491	57
Запах при 60C	1	492	57
Неизвестно (5147)	2	493	57
Неизвестно (5148)	Тинистый	494	57
Общие колиформные бактерии (ОКБ)	отс.	495	57
Неизвестно (1000)	Тинистый	496	
Неизвестно (1001)	Тинистый	497	
Запах при 20C	1	498	
Неизвестно (1003)	20.6	499	
Цветность	12	500	
Мутность	<0.30	501	
Водородный показатель (pH)	7.2	502	
Железо общее	0.05	503	
Термотолерантные колиформные бактерии (ТКБ)	отс.	504	
Общее микробное число (ОМЧ)	отс.	505	
Запах при 60C	2	507	
Неизвестно (5147)	1	508	
Неизвестно (5148)	Тинистый	509	
Общие колиформные бактерии (ОКБ)	отс.	510	
Неизвестно (1000)	Хлорно-тинистый	511	
Неизвестно (1001)	Хлорно-тинистый	512	
Запах при 20C	1	513	
Остаточный хлор	0.18	506	
Неизвестно (1003)	20.8	514	
Цветность	12	515	
Мутность	0.50	516	
Водородный показатель (pH)	7.1	517	
Железо общее	<0.05	518	
Термотолерантные колиформные бактерии (ТКБ)	отс.	519	
Общее микробное число (ОМЧ)	отс.	520	
Остаточный хлор	0.52	521	
Запах при 60C	2	522	
Неизвестно (5147)	1	523	
Неизвестно (5148)	Хлорно-тинистый	524	
Общие колиформные бактерии (ОКБ)	отс.	525	
Неизвестно (1000)	Тинистый	526	
Неизвестно (1001)	Тинистый	527	
Запах при 20C	1	528	
Неизвестно (1003)	23.7	529	
Цветность	11	530	
Мутность	0.90	531	
Водородный показатель (pH)	7.1	532	
Железо общее	<0.05	533	
Запах при 20C	1	1484	69
Термотолерантные колиформные бактерии (ТКБ)	отс.	534	
Общее микробное число (ОМЧ)	отс.	535	
Остаточный хлор	0.42	536	
Запах при 60C	1	537	
Неизвестно (5147)	1	538	
Неизвестно (5148)	Тинистый	539	
Общие колиформные бактерии (ОКБ)	отс.	540	
Неизвестно (1000)	Хлорно-тинистый	541	20
Неизвестно (1001)	Хлорно-тинистый	542	20
Запах при 20C	1	543	20
Неизвестно (1003)	20.3	544	20
Цветность	11	545	20
Мутность	<0.30	546	20
Водородный показатель (pH)	7.2	547	20
Железо общее	<0.05	548	20
Термотолерантные колиформные бактерии (ТКБ)	отс.	549	20
Общее микробное число (ОМЧ)	отс.	550	20
Остаточный хлор	0.75	551	20
Запах при 60C	1-2	552	20
Неизвестно (5147)	1	553	20
Неизвестно (5148)	Хлорно-тинистый	554	20
Запах при 60C	1	432	65
Общие колиформные бактерии (ОКБ)	отс.	555	20
Неизвестно (1000)	Тинистый	556	8
Неизвестно (1001)	Тинистый	557	8
Запах при 20C	1	558	8
Неизвестно (1003)	20.1	559	8
Цветность	12	560	8
Мутность	<0.30	561	8
Водородный показатель (pH)	7.1	562	8
Железо общее	<0.05	563	8
Термотолерантные колиформные бактерии (ТКБ)	отс.	564	8
Общее микробное число (ОМЧ)	отс.	565	8
Остаточный хлор	0.61	566	8
Запах при 60C	2	567	8
Неизвестно (5147)	1	568	8
Неизвестно (5148)	Тинистый	569	8
Общие колиформные бактерии (ОКБ)	отс.	570	8
Неизвестно (1000)	Хлорно-тинистый	571	14
Неизвестно (1001)	Хлорно-тинистый	572	14
Неизвестно (1003)	20.2	574	14
Цветность	12	575	14
Мутность	0.35	576	14
Водородный показатель (pH)	7.2	577	14
Железо общее	<0.05	578	14
Термотолерантные колиформные бактерии (ТКБ)	отс.	579	14
Общее микробное число (ОМЧ)	отс.	580	14
Остаточный хлор	0.76	581	14
Запах при 60C	1-2	582	14
Неизвестно (5147)	1	583	14
Неизвестно (5148)	Хлорно-тинистый	584	14
Общие колиформные бактерии (ОКБ)	отс.	585	14
Неизвестно (1000)	Хлорно-тинистый	586	60
Неизвестно (1001)	Хлорно-тинистый	587	60
Запах при 20C	1	588	60
Неизвестно (1003)	21.2	589	60
Цветность	13	590	60
Мутность	0.44	591	60
Водородный показатель (pH)	7.2	592	60
Железо общее	0.09	593	60
Термотолерантные колиформные бактерии (ТКБ)	отс.	594	60
Общее микробное число (ОМЧ)	отс.	595	60
Остаточный хлор	0.74	596	60
Запах при 60C	1	597	60
Неизвестно (5147)	1	598	60
Неизвестно (5148)	Хлорно-тинистый	599	60
Общие колиформные бактерии (ОКБ)	отс.	600	60
Неизвестно (1000)	Болотно-хлорный	601	6
Неизвестно (1001)	Болотно-хлорный	602	6
Запах при 20C	0-1	603	6
Неизвестно (1003)	19.0	604	6
Цветность	12	605	6
Мутность	<0.30	606	6
Водородный показатель (pH)	7.2	607	6
Железо общее	0.11	608	6
Термотолерантные колиформные бактерии (ТКБ)	отс.	609	6
Общее микробное число (ОМЧ)	отс.	610	6
Остаточный хлор	0.16	611	6
Запах при 60C	0-1	612	6
Общие колиформные бактерии (ОКБ)	отс.	613	6
Неизвестно (1000)	Тинистый	614	79
Запах при 20C	1	616	79
Неизвестно (1003)	21.4	617	79
Цветность	12	618	79
Мутность	<0.30	619	79
Водородный показатель (pH)	7.2	620	79
Железо общее	<0.05	621	79
Термотолерантные колиформные бактерии (ТКБ)	отс.	622	79
Общее микробное число (ОМЧ)	отс.	623	79
Запах при 60C	2	625	79
Неизвестно (5147)	1	626	79
Неизвестно (5148)	Тинистый	627	79
Общие колиформные бактерии (ОКБ)	отс.	628	79
Неизвестно (1000)	Тинистый	629	51
Неизвестно (1001)	Тинистый	630	51
Запах при 20C	1	631	51
Неизвестно (1003)	21.9	632	51
Мутность	0.47	812	19
Цветность	11	648	93
Цветность	10	633	51
Мутность	<0.30	634	51
Водородный показатель (pH)	7.2	635	51
Железо общее	<0.05	636	51
Термотолерантные колиформные бактерии (ТКБ)	отс.	637	51
Общее микробное число (ОМЧ)	отс.	638	51
Остаточный хлор	0.42	639	51
Запах при 60C	1	640	51
Неизвестно (5147)	1	641	51
Неизвестно (5148)	Тинистый	642	51
Общие колиформные бактерии (ОКБ)	отс.	643	51
Неизвестно (1000)	Тинистый	644	93
Неизвестно (1001)	Тинистый	645	93
Неизвестно (1003)	22.0	647	93
Мутность	0.33	649	93
Водородный показатель (pH)	7.2	650	93
Железо общее	0.10	651	93
Термотолерантные колиформные бактерии (ТКБ)	отс.	652	93
Общее микробное число (ОМЧ)	отс.	653	93
Остаточный хлор	0.12	654	93
Запах при 60C	1-2	655	93
Неизвестно (5147)	1	656	93
Неизвестно (5148)	Тинистый	657	93
Общие колиформные бактерии (ОКБ)	отс.	658	93
Неизвестно (1000)	Хлорно-тинистый	659	91
Неизвестно (1001)	Хлорно-тинистый	660	91
Запах при 20C	1-2	661	91
Неизвестно (1003)	17.0	662	91
Цветность	12	663	91
Мутность	<0.30	664	91
Водородный показатель (pH)	7.4	665	91
Железо общее	<0.05	666	91
Термотолерантные колиформные бактерии (ТКБ)	отс.	667	91
Общее микробное число (ОМЧ)	отс.	668	91
Остаточный хлор	0.51	669	91
Запах при 60C	2	670	91
Общие колиформные бактерии (ОКБ)	отс.	671	91
Неизвестно (1000)	Тинистый	672	72
Неизвестно (1001)	Тинистый	673	72
Запах при 20C	1	674	72
Неизвестно (1003)	21.7	675	72
Мутность	0.45	677	72
Водородный показатель (pH)	7.3	678	72
Железо общее	0.08	679	72
Термотолерантные колиформные бактерии (ТКБ)	отс.	680	72
Общее микробное число (ОМЧ)	отс.	681	72
Остаточный хлор	0.39	682	72
Запах при 60C	1-2	683	72
Неизвестно (5147)	1	684	72
Неизвестно (5148)	Тинистый	685	72
Общие колиформные бактерии (ОКБ)	отс.	686	72
Неизвестно (1000)	Тинистый	687	28
Неизвестно (1001)	Тинистый	688	28
Запах при 20C	1	689	28
Неизвестно (1003)	21.4	690	28
Цветность	9	691	28
Мутность	<0.30	692	28
Водородный показатель (pH)	7.1	693	28
Железо общее	<0.05	694	28
Термотолерантные колиформные бактерии (ТКБ)	отс.	695	28
Общее микробное число (ОМЧ)	отс.	696	28
Остаточный хлор	0.33	697	28
Запах при 60C	1-2	698	28
Неизвестно (5147)	1	699	28
Неизвестно (5148)	Тинистый	700	28
Общие колиформные бактерии (ОКБ)	отс.	701	28
Неизвестно (1000)	Тинистый	702	
Неизвестно (1001)	Тинистый	703	
Запах при 20C	1	704	
Неизвестно (1003)	19.9	705	
Мутность	0.44	707	
Водородный показатель (pH)	7.1	708	
Железо общее	<0.05	709	
Запах при 20C	1	573	14
Термотолерантные колиформные бактерии (ТКБ)	отс.	710	
Общее микробное число (ОМЧ)	отс.	711	
Остаточный хлор	0.36	712	
Запах при 60C	1-2	713	
Неизвестно (5147)	1	714	
Неизвестно (5148)	Тинистый	715	
Общие колиформные бактерии (ОКБ)	отс.	716	
Неизвестно (1000)	Тинистый	717	90
Неизвестно (1001)	Тинистый	718	90
Запах при 20C	1-2	719	90
Неизвестно (1003)	22.1	720	90
Мутность	<0.30	722	90
Водородный показатель (pH)	7.2	723	90
Железо общее	<0.05	724	90
Термотолерантные колиформные бактерии (ТКБ)	отс.	725	90
Общее микробное число (ОМЧ)	отс.	726	90
Остаточный хлор	0.53	727	90
Запах при 60C	1-2	728	90
Неизвестно (5147)	1-2	729	90
Неизвестно (5148)	Тинистый	730	90
Общие колиформные бактерии (ОКБ)	отс.	731	90
Неизвестно (1000)	Тинистый	732	
